FieldName,DataType,IsPrimary
AdmissionId,bigint,1
AdmissionDate,datetime,0
AdmissionKnownToId,bigint,0
AdmissionKnownToName,varchar,0
AdmissionModeId,bigint,0
AdmissionNumber,varchar,0
AdmissionReasonId,bigint,0
AdmissionRemarks,varchar,0
AdmissionTypeCode,varchar,0
AdmittingConsultantId,bigint,0
BedId,bigint,0
BillingClassId,bigint,0
ChiefComplaint,varchar,0
ConcessionRemarks,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
CurrentBedId,bigint,0
DeleteComments,varchar,0
DiagnosisId,bigint,0
DietId,bigint,0
DischargeDate,datetime,0
DischargeStatusId,bigint,0
EligibleBillingClassId,bigint,0
EntitlementId,bigint,0
ExpectedDischargeDate,date,0
ExpectedLOS,int,0
FolioRemarks,varchar,0
HospitalId,bigint,0
ICDId,bigint,0
InitialAdmittingConsultantId,bigint,0
InitialTreatingConsultantId,bigint,0
InstituteId,bigint,0
IsActive,bit,0
JointConsultantId,bigint,0
LastUpdatedTime,datetime,0
MotherAdmissionNumber,varchar,0
PatientId,bigint,0
PatientSponsorId,bigint,0
PaymentTypeId,bigint,0
ReferenceFile,varchar,0
TreatingConsultantId,bigint,0
TreatmentTypeId,bigint,0
TriageDetailId,bigint,0
UpdatedById,bigint,0
