FieldName,DataType,IsPrimary
BedId,bigint,1
ActiveState,bit,0
Bed_PAT_CAT_CODE,varchar,0
BedActualGender,varchar,0
BedAttribute,varchar,0
BedCensus,bit,0
BedCurrentAdmissionNumber,varchar,0
BedCurrentGender,varchar,0
BedCurrentPatientId,bigint,0
BedGroupId,bigint,0
BedHoldingPatientId,bigint,0
BedIncomeSectionId,bigint,0
BedName,varchar,0
BedNumber,varchar,0
BedSTATReq,bit,0
BedStatusCode,varchar,0
BedTelephoneExtension,bigint,0
BillingClassId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
deleteComment,nchar,0
HospitalId,bigint,0
IsActive,bit,0
LastUpdatedTime,datetime,0
NurseStationId,bigint,0
PatientBillingClassId,bigint,0
ReservationId,bigint,0
RoomId,bigint,0
TriageDetailId,bigint,0
UpdatedById,bigint,0
WardId,bigint,0
WardTypeId,bigint,0
WarehouseId,bigint,0
