FieldName,DataType,IsPrimary
InvoiceDetailId,bigint,1
AppointmentCode,varchar,0
AppointmentId,bigint,0
BatchNumber,varchar,0
BillModifyReasonId,bigint,0
CancelledByUserId,bigint,0
CancelledDate,datetime,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeleteComments,varchar,0
HospitalId,bigint,0
HospitalTariff,numeric,0
InvoiceId,bigint,0
InvoiceIndicator,varchar,0
IsActive,bit,0
IsCancelled,bit,0
IsMultipleProviderSplit,tinyint,0
IsRenderDoctor,tinyint,0
IsServiceRenderred,tinyint,0
ItemName,varchar,0
LastUpdatedTime,datetime,0
LMPDate,datetime,0
OrderId,bigint,0
PatientDiscountAmount,numeric,0
PatientEmergencyCharges,numeric,0
PatientFNSCAmount,numeric,0
PatientGrossAmount,numeric,0
PatientGrossDiscount,numeric,0
PatientId,bigint,0
PatientNetAmount,numeric,0
PatientSurchargeAmount,numeric,0
PatientTaxAmount,numeric,0
PCPercentage,numeric,0
PrescribedDoctorId,bigint,0
PrevReturnQty,int,0
ProductCostPrice,numeric,0
ProductId,bigint,0
ProductMRP,numeric,0
ProductSellingPrice,numeric,0
ProductSoldPrice,numeric,0
RefDocNumber,varchar,0
RefInvoiceDetailId,bigint,0
Remarks,varchar,0
RenderedAuthorisedById,bigint,0
RenderedById,bigint,0
RenderedDate,datetime,0
RenderedReason,varchar,0
RenderedRemarks,varchar,0
RenderingDoctorId,bigint,0
ServiceAmount,numeric,0
ServiceId,bigint,0
ServicePCAmount,numeric,0
ServicePCAmountWithDiscount,numeric,0
SponsorDiscountAmount,numeric,0
SponsorEmergencyCharges,numeric,0
SponsorFNSCAmount,numeric,0
SponsorGrossAmount,numeric,0
SponsorGrossDiscount,numeric,0
SponsorNetAmount,numeric,0
SponsorSurchargeAmount,numeric,0
SponsorTaxAmount,numeric,0
STAT,varchar,0
Unit,int,0
UpdatedById,bigint,0
