FieldName,DataType,IsPrimary
PaymentByChequeId,bigint,1
AccountNumber,varchar,0
Amount,numeric,0
BankDetailCode,varchar,0
BaseAmount,numeric,0
ChequeDate,datetime,0
ChequeNumber,varchar,0
ClearanceDate,datetime,0
ClearanceStatus,bit,0
CreatedById,bigint,0
CreatedTime,datetime,0
CurrencyId,bigint,0
DeleteComments,varchar,0
DraweeBank,varchar,0
DraweeBankBranch,varchar,0
DraweeName,varchar,0
HospitalId,bigint,0
IsActive,bit,0
LastUpdatedTime,datetime,0
ReceiptId,bigint,0
Remarks,varchar,0
UpdatedById,bigint,0
