FieldName,DataType,IsPrimary
ReceiptId,bigint,1
AdmissionId,bigint,0
AuthorisedById,bigint,0
BillReceiptReasonCode,varchar,0
CancelledByUserId,bigint,0
CancelledDate,datetime,0
ClaimMgmtHeaderId,bigint,0
Comment,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeleteComments,varchar,0
HospitalId,bigint,0
InstituteId,bigint,0
InvoiceId,bigint,0
IsActive,bit,0
IsCancelled,bit,0
LastUpdatedTime,datetime,0
ManualReceiptNumber,varchar,0
OrderId,bigint,0
PatientId,bigint,0
ReceiptAmount,numeric,0
ReceiptDate,datetime,0
ReceiptIndicator,varchar,0
ReceiptNumber,varchar,0
RefDocNumber,varchar,0
ReservationId,bigint,0
UpdatedById,bigint,0
UtilizedAmount,numeric,0
