FieldName,DataType,IsPrimary
AntigenMatrixId,tinyint,1
AAntiAValue,tinyint,0
AAntiBValue,tinyint,0
AAValue,tinyint,0
ABAntiAValue,tinyint,0
ABAntiBValue,tinyint,0
ABAValue,tinyint,0
ABBValue,tinyint,0
ABValue,tinyint,0
BAntiAValue,tinyint,0
BAntiBValue,tinyint,0
BAValue,tinyint,0
BBValue,tinyint,0
BloodGroupId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
HospitalId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
OAntiAValue,tinyint,0
OAntiBValue,tinyint,0
OAValue,tinyint,0
OBValue,tinyint,0
UpdatedById,bigint,0
