FieldName,DataType,IsPrimary
BloodBankAuthorizationDetailId,int,1
ABORhGroupingRegisterId,tinyint,0
AuthorisedById,bigint,0
BloodBankAuthorizationLevelId,int,0
BloodBankClubbedUnitId,int,0
BloodBankCompIssueHeaderId,int,0
BloodBankCompReqHeaderId,int,0
BloodBankCrossMatchHeaderId,int,0
BloodBankDonorRegistrationId,int,0
BloodBankExtDonorRegId,int,0
BloodBankSeperateCompDetailId,int,0
BloodBankTrnScreenId,tinyint,0
BURequisitionHeaderId,int,0
CreatedById,bigint,0
CreatedTime,datetime,0
HospitalId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
UpdatedById,bigint,0
