FieldName,DataType,IsPrimary
BURequisitionHeaderId,int,1
AdmissionNumber,varchar,0
BloodBankAuthorizationStatusId,bigint,0
BUCancellationAuthStatusId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
ExtRequisitionUnitNo,varchar,0
HospitalId,bigint,0
IsActive,tinyint,0
IsCancelled,tinyint,0
LastUpdatedTime,datetime,0
PatientId,bigint,0
RecipientABOGroup,bigint,0
RecipientRhType,int,0
RegistrationNumber,varchar,0
Remarks,varchar,0
SignatoryId,bigint,0
SpecialCharacteristics,int,0
UpdatedById,bigint,0
