FieldName,DataType,IsPrimary
BloodBankClubbedUnitId,int,1
BloodBankAuthorizationStatusId,bigint,0
BloodBankBagTypeId,int,0
BloodBankComponentId,int,0
BloodBankInventoryTypeId,bigint,0
BloodBankRhTypeId,int,0
BloodGroupId,bigint,0
BloodUnitDeferralReasonId,bigint,0
ClubbedDateTime,datetime,0
ClubbedUnitNumber,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeferralReasonRemarks,varchar,0
ExpiryDays,int,0
HospitalId,bigint,0
IsActive,tinyint,0
IsBloodUnitIssued,tinyint,0
IsCrossMatched,tinyint,0
LastUpdatedTime,datetime,0
Remarks,varchar,0
UpdatedById,bigint,0
