FieldName,DataType,IsPrimary
BloodBankCompIssueDetailId,int,1
BloodBankClubbedUnitId,int,0
BloodBankCompIssueHeaderId,int,0
BloodBankSeparateCompDetailId,int,0
BloodUnitCollectedById,bigint,0
BloodUnitIssuedById,bigint,0
BloodUnitRemovedById,bigint,0
BloodUnitRemovedDateTime,datetime,0
CollectedDateTime,datetime,0
CreatedById,bigint,0
CreatedTime,datetime,0
HasDonor,tinyint,0
HospitalId,bigint,0
IsActive,tinyint,0
IssuedDateTime,datetime,0
IsWarmingRequired,tinyint,0
LastUpdatedTime,datetime,0
UpdatedById,bigint,0
