FieldName,DataType,IsPrimary
BloodBankCompReqDetailId,int,1
AcceptedDateTime,datetime,0
BloodBankBagSizeId,int,0
BloodBankComponentId,int,0
BloodBankCompReqHeaderId,int,0
BloodBankRequestStatusId,int,0
CreatedById,bigint,0
CreatedTime,datetime,0
HoldDateTime,datetime,0
HospitalId,bigint,0
IsActive,tinyint,0
IsBloodUnitIssued,tinyint,0
IsDonorService,tinyint,0
IsLifeSaving,tinyint,0
IssuedDateTime,datetime,0
LastUpdatedTime,datetime,0
RejectedDateTime,datetime,0
Remarks,varchar,0
RequestedDateTime,datetime,0
RequiredDateTime,datetime,0
ServiceId,bigint,0
Units,int,0
UpdatedById,bigint,0
