FieldName,DataType,IsPrimary
BloodBankComponentId,int,1
AdvanceDaysForExpiryAlert,int,0
BloodComponentCode,varchar,0
BloodComponentDescription,varchar,0
BloodComponentName,varchar,0
BloodGroupSpecificityRequired,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
ExpiryDays,int,0
HospitalId,bigint,0
IsActive,tinyint,0
IsAdditiveApplicable,tinyint,0
IsAmendmentOfExpiryApplicable,int,0
IsClubbingAllowed,tinyint,0
IsCrossMatchingRequired,tinyint,0
LastUpdatedTime,datetime,0
LeucoDeplete,int,0
PoolUnits,int,0
Prefix,varchar,0
ReturnAcceptanceDurationHrs,int,0
ServiceForComponentId,bigint,0
UpdatedById,bigint,0
Volume,int,0
