FieldName,DataType,IsPrimary
BloodBankDonorRegistrationId,int,1
BloodBankAuthorizationStatusId,bigint,0
BloodBankCampId,int,0
BloodBankDeferralReasonId,bigint,0
BloodBankDeferralTypeId,bigint,0
BloodBankDonorDetailId,int,0
BloodBankDonorScreeningResultId,bigint,0
BloodDonationPlace,varchar,0
BothArmsInspected,tinyint,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeferralRemarks,varchar,0
DonorTypeId,bigint,0
HospitalId,bigint,0
IsActive,tinyint,0
LastDonationDate,date,0
LastUpdatedTime,datetime,0
OtherInformation,varchar,0
PreviousRegistrationNumber,varchar,0
RecipientAdmissionId,bigint,0
RecipientPatientId,bigint,0
RegistrationDateTime,datetime,0
RegistrationNumber,varchar,0
ScreeningDateTime,datetime,0
UpdatedById,bigint,0
