FieldName,DataType,IsPrimary
BloodBankExternalDonorRegistrationId,int,1
ABOGroup,bigint,0
AnticoagulantUsed,int,0
AppearanceRemarks,varchar,0
BagIntegrityRemarks,varchar,0
BagType,int,0
BleedingDateTime,datetime,0
BloodBankAuthorizationStatusId,bigint,0
BloodBankInventoryTypeId,bigint,0
BloodComponentId,bigint,0
BloodUnitDeferralReasonId,bigint,0
BloodUnitDeferralRemarks,varchar,0
BURequisitionHeaderId,int,0
CreatedById,bigint,0
CreatedTime,datetime,0
ExpiryDate,date,0
ExternalBloodRegistrationNumber,varchar,0
ExternalBloodUnitNumber,varchar,0
HospitalId,bigint,0
IsActive,tinyint,0
IsAppearanceClear,tinyint,0
IsBagIntegrityOk,tinyint,0
LastUpdatedTime,datetime,0
Remarks,varchar,0
RhType,int,0
SegmentNo,varchar,0
UpdatedById,bigint,0
Volume,int,0
