FieldName,DataType,IsPrimary
BloodBankPostScreeningDetailId,int,1
AdverseReactionRemarks,varchar,0
BloodBankAdverseReactionId,varchar,0
BloodBankAnticoagulantId,int,0
BloodBankAuthorizationStatusId,bigint,0
BloodBankBagTypeId,int,0
BloodBankDeferralReasonId,bigint,0
BloodBankDeferralTypeId,bigint,0
BloodBankDonorRegistrationId,int,0
BloodBankDonorScreeningResultId,bigint,0
BloodBankInventoryTypeId,bigint,0
BloodUnitDeferralReasonId,bigint,0
BloodUnitDeferralRemarks,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeferralRemarks,varchar,0
DisengageSegmentNo,tinyint,0
DonorUnitNumber,varchar,0
HospitalId,bigint,0
IsActive,tinyint,0
IsDeferred,tinyint,0
LastUpdatedTime,datetime,0
PostScreeningDateTime,datetime,0
SegmentNo,varchar,0
UpdatedById,bigint,0
