FieldName,DataType,IsPrimary
BloodBankRequisitionServiceId,int,1
CellPanel,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DepartmentId,bigint,0
DisplayOrder,int,0
HospitalId,bigint,0
IsActive,tinyint,0
IsCommentsRequired,tinyint,0
IsDCTResultGelTechniqueRequired,tinyint,0
IsMethodRequired,tinyint,0
IsNegativeControlRequired,tinyint,0
IsPositiveControlRequired,tinyint,0
IsProbableAntibodyRequired,tinyint,0
IsSampleTypeRequired,tinyint,0
LastUpdatedTime,datetime,0
SectionId,bigint,0
ServiceId,bigint,0
UpdatedById,bigint,0
ValidationForCrossMatching,tinyint,0
ViewInterpretationDiagram,tinyint,0
ViewReactionPattern,tinyint,0
