FieldName,DataType,IsPrimary
BloodBankSeperateCompDetailId,int,1
BloodBankClubbedUnitId,int,0
BloodBankComponentEquipmentMappingId,int,0
BloodBankComponentId,int,0
BloodBankInventoryTypeId,bigint,0
BloodBankSeperateCompHeaderId,int,0
BloodUnitDeferralReasonId,bigint,0
BloodUnitNo,varchar,0
ComponentVolume,numeric,0
CreatedById,bigint,0
CreatedTime,datetime,0
HospitalId,bigint,0
IsActive,tinyint,0
IsBloodUnitIssued,tinyint,0
IsCrossMatched,tinyint,0
LastUpdatedTime,datetime,0
Remarks,varchar,0
UpdatedById,bigint,0
