FieldName,DataType,IsPrimary
BloodBankSeroABODetailId,int,1
BloodBankAuthorizationStatusId,bigint,0
BloodBankComponentEquipmentMappingId,int,0
BloodBankControlTypeId,tinyint,0
BloodBankDonorRegistrationId,int,0
BloodBankExternalDonorRegistrationId,int,0
BloodBankInventoryTypeId,bigint,0
BloodUnitDeferralReasonId,bigint,0
Comments,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
HospitalId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
RedoType,tinyint,0
Remarks,varchar,0
SeroTestDateTime,datetime,0
UpdatedById,bigint,0
