FieldName,DataType,IsPrimary
TransfusionHeaderId,bigint,1
AdverseTransfusionReaction,varchar,0
AmtTransfusion,int,0
BagNumber,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
HospitalId,bigint,0
IPServiceRequestDetailsId,bigint,0
IsActive,tinyint,0
IssuedDateTime,datetime,0
LastUpdatedTime,datetime,0
OrderId,bigint,0
PatientCondBeforeTransfusion,varchar,0
RateOfTransfusion,numeric,0
Remarks,varchar,0
ServiceId,bigint,0
TransfusionDate,datetime,0
TransfusionStartTime,time,0
TransfusionStoppedTime,time,0
Unit,int,0
UpdatedById,bigint,0
