FieldName,DataType,IsPrimary
ChiefSummaryId,bigint,1
AppointmentId,bigint,0
CanbeShownToOtherDoctors,bit,0
CaseSheet,varchar,0
ClinicalPatientRemarks,varchar,0
Conclusion,varchar,0
ConfidentialHistory,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DoctorId,bigint,0
HospitalId,bigint,0
IsActive,bit,0
IsClinicalPatient,int,0
IsReferredOrTransferred,bit,0
LastUpdatedTime,datetime,0
PrimaryDoctorId,bigint,0
RecordingDate,datetime,0
ReferBack,bit,0
ReferredTo,bigint,0
TransferredTo,bigint,0
UpdatedById,bigint,0
VisitClose,bit,0
