FieldName,DataType,IsPrimary
DoctorId,bigint,1
Address,varchar,0
AdmitFlag,bit,0
AlternateNumber,varchar,0
AppointmentRemarks,varchar,0
CaseType,varchar,0
CityId,bigint,0
ClinicFlag,bit,0
ConsultDays,bigint,0
CountryId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeleteComment,varchar,0
DepartmentId,bigint,0
DesignationId,bigint,0
DigitalSignature,varchar,0
DisplayName,varchar,0
DoctorPaymentTypeId,int,0
DoctorTypeId,bigint,0
EmailId,varchar,0
EmployeeId,bigint,0
Experience,varchar,0
FirstName,varchar,0
FixedAmount,numeric,0
GenderId,bigint,0
HospitalId,bigint,0
IsActive,bit,0
IsAnaesthetist,bit,0
IsDiscountAllowed,tinyint,0
IsSurgeon,bit,0
JoiningDate,date,0
LandmarkId,bigint,0
LastName,varchar,0
LastUpdatedTime,datetime,0
MiddleName,varchar,0
MobileNumber,varchar,0
NationalityId,bigint,0
OfficeTelphone,varchar,0
OTFlg,bit,0
Photo,varchar,0
PinCode,varchar,0
PlaceId,bigint,0
QualificationId,bigint,0
RelievingDate,date,0
ResidenceTelphone,varchar,0
ScannedSignature,varchar,0
SendEmail,bit,0
SendSMS,bit,0
ServiceNumber,varchar,0
StateId,bigint,0
TDSPercentage,numeric,0
TitleId,bigint,0
UpdatedById,bigint,0
UserId,bigint,0
