FieldName,DataType,IsPrimary
AppointmentId,bigint,1
AppointmentCancelReasonId,int,0
AppointmentEndTime,datetime,0
AppointmentStartTime,datetime,0
AppointmentStatusId,bigint,0
AppointmentTypeId,bigint,0
ArrivalTime,datetime,0
CancelComment,varchar,0
ConsultationTypeId,bigint,0
ConsultedTime,datetime,0
CreatedById,bigint,0
CreatedTime,datetime,0
DoctorId,bigint,0
Feedback,varchar,0
FirstConsultation,bigint,0
FollowUpDate,date,0
HospitalId,bigint,0
IsActive,bit,0
IsCancelledByPatient,bit,0
IsCreatedByPatient,bit,0
IsFirstConsultation,bit,0
IsOverBooked,bit,0
IsRecursiveAppointment,tinyint,0
IsUpdatedByPatient,bit,0
IsVisitClosed,bit,0
IsWalkIn,bit,0
LastUpdatedTime,datetime,0
ParentAppointmentId,bigint,0
PatientId,bigint,0
PreviousAppointmeneId,bigint,0
Reason,varchar,0
RecordingDate,datetime,0
ReferralName,varchar,0
ReferralTypeId,bigint,0
RegistrationNumber,varchar,0
RegistrationTypeId,bigint,0
ScreeningTime,datetime,0
SendEmail,bit,0
SendSMS,bit,0
SlotSequenceOrder,int,0
TransferToDoctorId,bigint,0
UpdatedById,bigint,0
