FieldName,DataType,IsPrimary
EntitlementId,bigint,1
ApplicableTo,varchar,0
CategoryNumber,varchar,0
CertificateNumber,varchar,0
CoveredCompanyId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
DischargePrescriptionLimit,numeric,0
EmergencyCharges,bit,0
EntitlementCode,varchar,0
EntitlementName,varchar,0
FNSC,bit,0
HospitalId,bigint,0
InstituteId,bigint,0
IsActive,bit,0
LastUpdatedTime,datetime,0
PanelDoctor,bit,0
PaymentForUndefinedServices,varchar,0
PolicyNumber,varchar,0
ProductTariff,varchar,0
Remarks,varchar,0
Tariff,varchar,0
UpdatedById,bigint,0
