FieldName,DataType,IsPrimary
EntitlementDetailId,bigint,1
AddOnAmount,numeric,0
AddOnPercentage,numeric,0
CoPaymentAmount,numeric,0
CoPaymentChargeType,varchar,0
CoPaymentType,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DiscountAmount,numeric,0
DiscountApplicable,varchar,0
DiscountPercentage,numeric,0
DiscountReasonId,bigint,0
EntitlementId,bigint,0
ExcessUsage,varchar,0
GroupCategoryId,bigint,0
GroupSubCategoryId,bigint,0
HospitalId,bigint,0
IsActive,bit,0
LastUpdatedTime,datetime,0
LimitAmount,numeric,0
LimitQuantity,numeric,0
PatientSplitPercentage,numeric,0
SponsorSplitPercentage,numeric,0
UpdatedById,bigint,0
