FieldName,DataType,IsPrimary
EquipmentParameterId,int,1
Apply_RounfOff,numeric,0
AssayNo,numeric,0
CreatedById,bigint,0
CreatedTime,datetime,0
Decimalcalc,numeric,0
EquipmentId,bigint,0
EquipmentParameterCode,varchar,0
EquipmentParameterName,varchar,0
HospitalId,bigint,0
IsActive,tinyint,0
IsOrderable,numeric,0
LastUpdatedTime,datetime,0
MinLength,numeric,0
Round,numeric,0
RoundUpTo,numeric,0
SampleType,nvarchar,0
strDecimal,nvarchar,0
strIndex,nvarchar,0
strLength,nvarchar,0
Suffix,nvarchar,0
UpdatedById,bigint,0
