FieldName,DataType,IsPrimary
FutureTariffId,bigint,1
CreatedById,bigint,0
CreatedTime,datetime,0
EffectiveDate,datetime,0
HospitalId,bigint,0
IsActive,bit,0
IsFNSurchargable,bit,0
IsPosted,bit,0
IsSurchargable,bit,0
IsTaxable,bit,0
LastUpdatedTime,datetime,0
PatientClassId,bigint,0
PCPercentage,numeric,0
ServiceCostPrice,numeric,0
ServiceId,bigint,0
ServiceNegMaxAmt,numeric,0
ServiceNegMinAmt,numeric,0
ServiceNegotiableFlag,tinyint,0
ServicePCAmount,numeric,0
ServiceTariff,numeric,0
UpdatedById,bigint,0
