FieldName,DataType,IsPrimary
HospitalId,bigint,1
CreatedById,bigint,0
CreatedTime,datetime,0
DeleteComment,varchar,0
HospitalAddress,varchar,0
HospitalCode,varchar,0
HospitalEmail,varchar,0
HospitalFax,varchar,0
HospitalGroupId,bigint,0
HospitalName,varchar,0
HospitalPhone1,varchar,0
HospitalPhone2,varchar,0
HospitalWebsite,varchar,0
IsActive,bit,0
LabelLocale,varchar,0
LastUpdatedTime,datetime,0
MaxBedCount,int,0
MaxConcurrentUserCount,int,0
MaxUserCount,int,0
PlaceId,bigint,0
ProductVersionId,int,0
UpdatedById,bigint,0
