FieldName,DataType,IsPrimary
LabInvestigationId,bigint,1
Abbreviation,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DefaultResult,varchar,0
DeleteComments,varchar,0
DisplayName,varchar,0
ExternalAgencyId,bigint,0
HideResult,tinyint,0
HospitalId,bigint,0
IPNormalTat,numeric,0
IPStatTat,numeric,0
IsActive,bit,0
LabRangeCaptionId,bigint,0
LabResultTypeId,bigint,0
LabSIFactor,numeric,0
LabSIUnitId,bigint,0
LabUnitId,bigint,0
LastUpdatedTime,datetime,0
LOINCCodeId,bigint,0
OPNormalTat,numeric,0
OPStatTat,numeric,0
ReAuthenticationDuration,numeric,0
SectionId,bigint,0
ServiceDisplayInstruction,varchar,0
ServiceId,bigint,0
SOPAttachmentName,varchar,0
UpdatedById,bigint,0
