FieldName,DataType,IsPrimary
LabParameterId,bigint,1
Abbreviation,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DefaultResult,varchar,0
DeleteComments,varchar,0
EquipmentParameterId,int,0
Formula,nvarchar,0
HospitalId,bigint,0
IsActive,bit,0
LabGroupHeadId,bigint,0
LabInvestigationId,bigint,0
LabResultTypeId,bigint,0
LabSIUnitId,bigint,0
LabUnitId,bigint,0
LastUpdatedTime,datetime,0
ParameterName,varchar,0
PrintDescription,varchar,0
SiFactor,numeric,0
UpdatedById,bigint,0
ViewOrder,int,0
