FieldName,DataType,IsPrimary
LabTransactionId,bigint,1
AccessionNumber,varchar,0
AgeUnitId,bigint,0
AuthenticatingDoctorId,bigint,0
CollectedById,bigint,0
CollectionDate,datetime,0
CreatedById,bigint,0
CreatedTime,datetime,0
CurrentStageId,bigint,0
CurrentStageTime,datetime,0
DiagnosticServiceRequestId,bigint,0
DistributedById,bigint,0
DistributionDate,datetime,0
ExternalAgencyId,bigint,0
FailedAttemptById,bigint,0
FailedAttemptDate,datetime,0
HospitalId,bigint,0
IsAbnormal,tinyint,0
IsActive,bit,0
IsCritical,tinyint,0
IsViewed,tinyint,0
LabContainerId,bigint,0
LabReasonId,bigint,0
LabResultType,varchar,0
LabSampleTypeId,bigint,0
LastUpdatedTime,datetime,0
OrderDate,datetime,0
OrderId,bigint,0
PatientAge,int,0
PatientId,bigint,0
PrescribingDoctorId,bigint,0
ProcessDate,datetime,0
ProcessedById,bigint,0
ReAuthenticateReasonId,bigint,0
RecollectionById,bigint,0
RecollectionDate,datetime,0
RegistrationNumber,varchar,0
ReportAcknowledgedById,bigint,0
ReportAcknowledgementDate,datetime,0
ReportDispatchedById,bigint,0
ReportDispatchedDate,datetime,0
ReportIssueDate,datetime,0
ReportIssuedById,bigint,0
RerunCount,tinyint,0
ResultAuthenticateDate,datetime,0
ResultAuthenticatedById,bigint,0
ResultEntryById,bigint,0
ResultEntryDate,datetime,0
SampleDrawnBy,bigint,0
SampleDrawnDate,datetime,0
SectionId,bigint,0
ServiceId,bigint,0
Stat,varchar,0
TransportedBy,bigint,0
UpdatedById,bigint,0
