FieldName,DataType,IsPrimary
PatientId,bigint,1
AgeGroupUnitId,bigint,0
AliasName,varchar,0
BloodGroupId,bigint,0
BooldGroupConfirmedBy,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DOB,date,0
Email,varchar,0
EmployeeDependentId,bigint,0
EmployeeId,bigint,0
EthnicityId,int,0
FirstName,varchar,0
ForgetPasswordURL,varchar,0
GenderId,bigint,0
HealthDataAccessToken,varchar,0
HealthDataPublicToken,varchar,0
HospitalId,bigint,0
Image,varchar,0
IncomeSlabId,bigint,0
IsActive,bit,0
IsCardPresent,tinyint,0
IsFamilyHead,bit,0
IsFileActive,bit,0
IsFirstTimeUserLogin,bit,0
LastName,varchar,0
LastUpdatedTime,datetime,0
LinkRegNumber,varchar,0
MaritalStatusId,bigint,0
MiddleName,varchar,0
MobileNumber,varchar,0
MRDFileCurrentLocation,varchar,0
NationalityId,bigint,0
NationalityNumber,varchar,0
OccupationId,bigint,0
OfficeNumber,varchar,0
Password,nvarchar,0
PaymentTypeId,bigint,0
RegistrationLocationId,bigint,0
RegistrationNumber,varchar,0
RegistrationTypeId,bigint,0
ReligionId,bigint,0
ResidenceNumber,varchar,0
SendEmail,bit,0
SendSMS,bit,0
SignatureImage,varchar,0
TempPasswordTimestamp,datetime,0
TitleId,bigint,0
UpdatedById,bigint,0
UpdatedByPatient,bit,0
Username,varchar,0
VIPCategoryId,bigint,0
