FieldName,DataType,IsPrimary
PatientAllergyId,bigint,1
AllergyId,bigint,0
AllergyStatus,varchar,0
AllergyTypeId,bigint,0
AppointmentId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeleteReason,varchar,0
DeleteTime,datetime,0
FoodSubGroupId,bigint,0
GenericId,bigint,0
HospitalId,bigint,0
IsActive,bit,0
LastUpdatedTime,datetime,0
PatientId,bigint,0
PrimaryDoctorId,bigint,0
Reactions,varchar,0
RegistrationNumber,varchar,0
Remark,varchar,0
SeverityId,bigint,0
Since,int,0
TimeUnitId,bigint,0
UpdatedById,bigint,0
