FieldName,DataType,IsPrimary
PatientMedicationId,bigint,1
AppointmentId,bigint,0
BilledQuantity,int,0
CreatedById,bigint,0
CreatedTime,datetime,0
Days,int,0
Dosage,numeric,0
DrugCode,varchar,0
DrugId,bigint,0
DrugIntakeTypeId,bigint,0
Form,varchar,0
Frequency,varchar,0
FrequencyId,bigint,0
GenericName,varchar,0
HospitalId,bigint,0
Intake,varchar,0
IsActive,bit,0
isPrescribed,tinyint,0
IsSPR,bit,0
LastUpdatedTime,datetime,0
MedicationType,varchar,0
PrescribedDate,datetime,0
PrimaryDoctorId,bigint,0
Quantity,int,0
Strength,varchar,0
TradeName,varchar,0
TriageDetailId,bigint,0
UpdatedById,bigint,0
UsageDirection,varchar,0
