FieldName,DataType,IsPrimary
MenstrualDetailId,bigint,1
Amount,varchar,0
AppointmentId,bigint,0
Comments,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
CycleRegularity,varchar,0
FlowType,varchar,0
HospitalId,bigint,0
IrregularCycleVaryFrom,int,0
IrregularCycleVaryTo,int,0
IsActive,bit,0
LastsFor,int,0
LastUpdatedTime,datetime,0
MenarcheAttainedAge,int,0
menopauseAttainedAgeRemark,varchar,0
MenopauseAttainedAgeUnits,int,0
OralContraceptivePills,varchar,0
OralContraceptivePillsRemark,varchar,0
PremenstrualPain,varchar,0
PremenstrualPainRemark,varchar,0
PremenstrualTension,varchar,0
PremenstrualTensionRemark,varchar,0
PrimaryDoctorId,bigint,0
RegularCyclesOf,int,0
UpdatedById,bigint,0
