FieldName,DataType,IsPrimary
PregnancyDetailId,bigint,1
AbortionDetiails,varchar,0
AgeAtFirstBirth,varchar,0
AgeDetailsOfLivingChild,varchar,0
AppointmentId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeadChildrenDetails,varchar,0
HospitalId,bigint,0
IsActive,bit,0
LastUpdatedTime,datetime,0
NumberOfAborstions,int,0
NumberOfChildrenDead,int,0
NumberOfDeliveries,int,0
NumberOfFemaleChildren,int,0
NumberOfLivingChildren,int,0
NumberOfMaleChildren,int,0
NumberOfPregnancies,int,0
PregnancyUnit,varchar,0
PresentPregnancy,int,0
PrimaryDoctorId,bigint,0
UpdatedById,bigint,0
