FieldName,DataType,IsPrimary
PatientReferralId,bigint,1
CityId,bigint,0
CountryId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
DetailAddress,varchar,0
DoctorId,bigint,0
HospitalId,bigint,0
IsActive,bit,0
LastUpdatedTime,datetime,0
MobileNumber,varchar,0
OfficeNumber,varchar,0
PatientId,bigint,0
ReferralTypeId,bigint,0
ReferredBy,varchar,0
RegistrationNumber,varchar,0
ResidenceNumber,varchar,0
StateId,bigint,0
TelephoneNumber,varchar,0
UpdatedById,bigint,0
UpdatedByPatient,bit,0
ZipCode,varchar,0
