FieldName,DataType,IsPrimary
PatientSponsorId,bigint,1
AdmissionId,bigint,0
AgreementId,bigint,0
CardNumber,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeleteComments,varchar,0
EmployeeDependentId,bigint,0
EmployeeId,bigint,0
EntitlementId,bigint,0
HospitalId,bigint,0
IsActive,bit,0
IsRequested,tinyint,0
LastUpdatedTime,datetime,0
PanelDoctorId,bigint,0
PatientId,bigint,0
PolicyNumber,varchar,0
PolicyValidityDate,date,0
ReferenceDocumentDate,date,0
ReferenceNumber,varchar,0
SignatoryId,bigint,0
SoapFormNumber,varchar,0
SumInsured,numeric,0
UpdatedById,bigint,0
ValidityDate,datetime,0
