FieldName,DataType,IsPrimary
PatientVitalId,bigint,1
AppointmentId,bigint,0
BMI,varchar,0
Comments,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
Diastolic,varchar,0
Height,numeric,0
HipSize,numeric,0
HospitalId,bigint,0
IsActive,bit,0
LastUpdatedTime,datetime,0
Obesitylevel,varchar,0
PatientId,bigint,0
Pulse,numeric,0
RegistrationNumber,varchar,0
Respiration,numeric,0
Systolic,varchar,0
Temperature,numeric,0
UpdatedById,bigint,0
WaistSize,numeric,0
WaistToHipRatio,numeric,0
Weight,numeric,0
