FieldName,DataType,IsPrimary
TransactionId,bigint,1
AccessionNumber,bigint,0
ArrivalDate,datetime,0
ArrivalEntryById,bigint,0
AuthenticatingDoctorId,bigint,0
ClinicalDiagnosis,varchar,0
Comments,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
CurrentStageId,bigint,0
CurrentStageTime,datetime,0
DeleteComments,varchar,0
DepartmentId,bigint,0
DiagnosticServiceRequestId,bigint,0
DispatchDate,datetime,0
ExternalAgencyId,bigint,0
HospitalId,bigint,0
InvestigationResultImage,varchar,0
InvestingationAttendDate,datetime,0
InvestingationAttendedById,bigint,0
InvestingationExitDate,datetime,0
InvestingationResultDate,datetime,0
IsAbnormal,tinyint,0
IsActive,bit,0
IsCritical,tinyint,0
IsSkipPatient,tinyint,0
IsSurgicalInterventionRequired,tinyint,0
IsViewed,tinyint,0
LastUpdatedTime,datetime,0
Opinion,varchar,0
OrderId,bigint,0
OrderServiceMapId,bigint,0
PatientAge,varchar,0
PatientId,bigint,0
PreviousStageId,bigint,0
PrintClinicalDiagnosis,bit,0
PrintOpinion,bit,0
RadiologyTemplateId,bigint,0
ReasonForDelay,varchar,0
ReAuthenticateReasonId,bigint,0
ReAuthenticatingDoctorId,bigint,0
RegistrationNumber,varchar,0
Remarks,varchar,0
ReportAcknowledgementById,bigint,0
ReportAcknowledgementDate,datetime,0
ReportDispatchedById,bigint,0
ReportIssueDate,datetime,0
ReportIssuedById,bigint,0
ResultAuthenticationById,bigint,0
ResultAuthenticationDate,datetime,0
ResultEntryById,bigint,0
ResultReauthenticationDate,datetime,0
SectionId,bigint,0
ServiceId,bigint,0
SkipReasonId,int,0
Stat,varchar,0
TechnicianId,bigint,0
Template,varchar,0
TestCompletionTime,varchar,0
UpdatedById,bigint,0
