FieldName,DataType,IsPrimary
RadiologyExaminationId,bigint,1
abbreviation,varchar,0
AnatomicFocusId,bigint,0
BodyPartId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeleteComments,varchar,0
DepartmentId,bigint,0
DisplayInstructions,varchar,0
DisplayName,varchar,0
ExternalAgencyId,bigint,0
FootNote,varchar,0
HospitalId,bigint,0
IsActive,bit,0
LastUpdatedTime,datetime,0
LateralityId,bigint,0
LOINCCodeId,bigint,0
PharmaceuticalId,bigint,0
ReportAvailability,int,0
ServiceId,bigint,0
serviceLMPFlag,bit,0
StdProcessTime,int,0
StdWaitTime,int,0
UpdatedById,bigint,0
