FieldName,DataType,IsPrimary
ReservationId,bigint,1
AdmissionNumber,varchar,0
AdmissionReasonId,bigint,0
AdmittingConsultantId,bigint,0
BillingClassId,bigint,0
CancellationSendMail,bit,0
CancellationSendSMS,bit,0
CancelledById,bigint,0
CancelReasonId,bigint,0
CancelRemark,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DiagnosisId,bigint,0
EntitlementId,bigint,0
ExpectedAdmissionDate,date,0
ExpectedLOS,int,0
HospitalId,bigint,0
ICDId,bigint,0
IsActive,bit,0
LastUpdatedTime,datetime,0
ModifyRemark,varchar,0
PatientId,bigint,0
PaymentTypeId,bigint,0
PrevExpectedAdmissionDate,date,0
ReservationModifyReasonId,bigint,0
ReservationNumber,bigint,0
ReservationRemarks,varchar,0
ReservationStatusId,bigint,0
ReservationTypeId,bigint,0
ScheduledSurgeryIds,varchar,0
TreatmentTypeId,bigint,0
UpdatedById,bigint,0
