FieldName,DataType,IsPrimary
SectionId,bigint,1
CreatedById,bigint,0
CreatedTime,datetime,0
DeleteComment,varchar,0
DepartmentId,bigint,0
HospitalId,bigint,0
IsActive,bit,0
IsTechnicianRequired,bit,0
LastUpdatedTime,datetime,0
NoOfTechnicians,tinyint,0
SectionAbbrCd,varchar,0
SectionHead1,varchar,0
SectionHead2,varchar,0
SectionHead3,varchar,0
SectionHead4,varchar,0
SectionHeadDesig1,varchar,0
SectionHeadDesig2,varchar,0
SectionHeadDesig3,varchar,0
SectionHeadDesig4,varchar,0
SectionName,varchar,0
UpdatedById,bigint,0
