FieldName,DataType,IsPrimary
ServiceId,bigint,1
CreatedById,bigint,0
CreatedTime,datetime,0
DeleteComment,varchar,0
EffectiveDate,date,0
ExternalAgencyId,bigint,0
HospitalId,bigint,0
IsActive,bit,0
IsBedService,tinyint,0
IsBloodGroupRequired,tinyint,0
IsServiceBlocked,int,0
LastUpdatedTime,datetime,0
Quantity,int,0
SectionId,bigint,0
ServiceAbbreviation,varchar,0
serviceActiveStatus,bit,0
ServiceApplGender,varchar,0
ServiceApptFlag,varchar,0
ServiceBlockedRemark,varchar,0
ServiceCaseType,varchar,0
ServiceDefaultRender,varchar,0
ServiceDisplayInstr,varchar,0
ServiceDocRequest,varchar,0
ServiceGroupId,bigint,0
ServiceIssueMode,varchar,0
ServiceLinkTo,varchar,0
ServiceLMPFlag,varchar,0
ServiceMRDFileReq,varchar,0
ServiceName,varchar,0
ServicePrintInstr,varchar,0
ServiceSurgeryRequest,varchar,0
ServiceTypeId,bigint,0
ServiceWardRequest,varchar,0
StandardTime,decimal,0
UpdatedById,bigint,0
