FieldName,DataType,IsPrimary
ServiceAppointmentId,bigint,1
AppointmentEndTime,datetime,0
AppointmentStartTime,datetime,0
AppointmentStatusId,bigint,0
AppointmentTypeId,bigint,0
CancelComment,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DoctorId,bigint,0
EquipmentServiceMapId,bigint,0
HospitalId,bigint,0
IsActive,bit,0
LastUpdatedTime,datetime,0
PatientId,bigint,0
Reason,varchar,0
RegistrationNumber,varchar,0
RegistrationTypeId,bigint,0
SendEmail,bit,0
SendSMS,bit,0
UpdatedById,bigint,0
