FieldName,DataType,IsPrimary
UserId,bigint,1
AdminFlag,varchar,0
CancelRenderServiceRights,bit,0
CashFlag,varchar,0
CreatedById,bigint,0
CreatedTimeStamp,datetime,0
CurrentCounterId,int,0
DefaultApplicationThemeId,int,0
DefaultHospitalId,bigint,0
DefaultUIComponentId,bigint,0
DepartmentId,bigint,0
DisplayName,varchar,0
Email,varchar,0
EmployeeId,bigint,0
EndDate,date,0
FirstName,varchar,0
GenderId,bigint,0
HospitalGroupId,bigint,0
Image,varchar,0
IsActive,bit,0
IsDeactivated,tinyint,0
IsDiscountAuthorizer,tinyint,0
IsFirstLogin,tinyint,0
IsLinkedToResource,tinyint,0
IsPOAuthorizer,tinyint,0
IsReset,bit,0
LastLoginTime,datetime,0
LastName,varchar,0
LastUpdatedTimeStamp,datetime,0
Location,varchar,0
LoginId,varchar,0
MiddleName,varchar,0
MobileNumber,varchar,0
MRDRights,bit,0
Password,nvarchar,0
PasswordExpiryDate,date,0
PasswordExpiryFlag,varchar,0
RegUpdRight,bit,0
RenderingRights,bit,0
SecurityAnswer1,varchar,0
SecurityAnswer2,varchar,0
SecurityAnswer3,varchar,0
SecurityQuestionID1,int,0
SecurityQuestionID2,int,0
SecurityQuestionID3,int,0
SignatureImage,varchar,0
StartDate,date,0
TitleId,bigint,0
UnfreezeRights,bit,0
UpdatedById,bigint,0
UserName,varchar,0
UserNarcoticDrgIssRights,bit,0
UUID,varchar,0
WareHouse,varchar,0
