FieldName,DataType,IsPrimary
AdmissionDischargeReportId,bigint,1
AdmissionCount,int,0
AdmissionType,varchar,0
AdmissionTypeId,bigint,0
BedBillingClass,varchar,0
BedBillingClassId,bigint,0
BirthCount,int,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeathCount,int,0
DepartmentId,bigint,0
DepartmentName,varchar,0
DischargeCount,int,0
DischargeType,varchar,0
ExpectedDischargeCount,int,0
HospitalId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
PatientBillClass,varchar,0
ReportDate,date,0
SectionName,varchar,0
TreatmentType,varchar,0
TreatmentTypeId,bigint,0
UpdatedById,bigint,0
