FieldName,DataType,IsPrimary
AdmissionReportId,bigint,1
AdmissionPackage,bit,0
AdmissionsbyKnownTo,varchar,0
AdmissionswithPackages,varchar,0
AdmissionType,varchar,0
AdmittingConsultantId,bigint,0
AdmittingDiagnosis,varchar,0
AdmittingMode,varchar,0
AdmittingReasons,varchar,0
AgeGroup,varchar,0
BedBillingClass,varchar,0
BedType,varchar,0
Count,int,0
CreatedById,bigint,0
CreatedTime,datetime,0
CreditParty,varchar,0
DepartmentName,varchar,0
DischargeType,varchar,0
Doctor,varchar,0
Gender,varchar,0
HospitalId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
Nationality,varchar,0
PatientBillingClass,varchar,0
PatientNetAmount,numeric,0
ReferredBy,varchar,0
ReportDate,date,0
SectionName,varchar,0
SponsorNetAmount,numeric,0
TargetValue,int,0
TreatingConsultantId,bigint,0
TreatmentType,varchar,0
UpdatedById,bigint,0
WardType,varchar,0
