FieldName,DataType,IsPrimary
AnaesthesiaChartId,bigint,1
AdmissionId,bigint,0
AdmissionNumber,varchar,0
AirwayBlade,varchar,0
AirwayDifficulty,varchar,0
AirwayETT,varchar,0
AirwayPackOrcuff,varchar,0
AirwayStylet,varchar,0
AnaesthesiaTypeId,bigint,0
AnaesthesiologistId,bigint,0
ArterialLine,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeleteComments,varchar,0
DoctorId,bigint,0
HospitalId,bigint,0
IntakeBlood,varchar,0
IntakeDextroseH2O,varchar,0
IntakeGlucoseSaline,varchar,0
IntakeOthers,varchar,0
IntakePlasma,varchar,0
IntakeRingerLactate,varchar,0
IsActive,bit,0
LastUpdatedTime,datetime,0
NurseId,bigint,0
OutputEstimatedbloodloss,varchar,0
PostOPorders,varchar,0
PostOPVitals,varchar,0
RegionalCSF,varchar,0
RegionalNeedle,varchar,0
RegionalPosition,varchar,0
RegionalSite,varchar,0
RegionalStylet,varchar,0
RegionalType,varchar,0
SurgeonId,bigint,0
SurgeryId,bigint,0
UpdatedById,bigint,0
UrinaryCatheter,varchar,0
