FieldName,DataType,IsPrimary
AppointmentsReportId,bigint,1
AppointmentId,bigint,0
AppointmentStatusId,bigint,0
AppointmentTypeId,bigint,0
ConsultationType,varchar,0
ConsultationTypeId,bigint,0
Count,int,0
CreatedById,bigint,0
CreatedTime,datetime,0
Department,varchar,0
DepartmentId,bigint,0
DocDesignation,varchar,0
Doctor,varchar,0
DoctorDesignationId,bigint,0
DoctorId,bigint,0
Gender,varchar,0
HospitalId,bigint,0
InstituteId,bigint,0
IsActive,tinyint,0
IsCancelledByPatient,tinyint,0
IsConfirmed,bit,0
IsRescheduled,tinyint,0
IsWalkin,tinyint,0
LastUpdatedTime,datetime,0
Mode,varchar,0
NewAppointments,int,0
NoShowCount,int,0
OverbookCount,int,0
RegistrationType,varchar,0
RegistrationTypeId,bigint,0
RepeatAppointments,int,0
ReportDate,date,0
Revenue,numeric,0
TransferToDoctorId,bigint,0
UpdatedById,bigint,0
UserId,bigint,0
WorkingHrs,decimal,0
