FieldName,DataType,IsPrimary
BedOccupancyReportId,bigint,1
AdmissionType,varchar,0
AdmissionTypeId,bigint,0
AdmittingDoctor,varchar,0
BedBillingClassId,bigint,0
BedBillingClassName,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DepartmentName,varchar,0
GenderCode,varchar,0
HospitalId,int,0
NurseStationName,varchar,0
PatientClassId,bigint,0
PatientClassName,varchar,0
ReportDate,date,0
RoomName,varchar,0
SPROccupiedBeds,int,0
TotalBedCount,int,0
TotalOccupiedBeds,int,0
WardId,bigint,0
WardName,varchar,0
