FieldName,DataType,IsPrimary
ClaimMgmtCompanyQueryId,bigint,1
ClaimMgmtHeaderId,bigint,0
ClaimMgmtQueryTypeId,int,0
ConcernedUserId,bigint,0
CreatedById,bigint,0
CreatedTime,datetime,0
DepartmentId,bigint,0
HospitalId,bigint,0
IncludeAttachment,tinyint,0
InstituteId,bigint,0
InvoiceNumber,varchar,0
IsActive,tinyint,0
IsReplied,tinyint,0
IsResponded,tinyint,0
LastUpdatedTime,datetime,0
PatientId,bigint,0
QueryAttachment,varchar,0
QueryDate,date,0
QueryDetails,varchar,0
QueryReference,varchar,0
QueryRemarks,varchar,0
QueryResponseRemarks,varchar,0
RegistrationNumber,varchar,0
RepliedUserId,bigint,0
ReplyDatetime,datetime,0
ReplyDetails,varchar,0
ReplyRemarks,varchar,0
RespondedUserId,bigint,0
ResponseAttachment,varchar,0
ResponseDatetime,datetime,0
ResponseDetails,varchar,0
SendEmail,tinyint,0
UpdatedById,bigint,0
