FieldName,DataType,IsPrimary
ClaimMgmtHeaderId,bigint,1
AdjustedAmount,numeric,0
AmountPaid,numeric,0
ClaimMgmtBatchId,bigint,0
ClaimMgmtChecklistStatusId,int,0
ClaimMgmtDocketStatusId,int,0
ClaimMgmtStatusId,int,0
ClaimNumber,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DebitPatientAmount,numeric,0
EntitlementId,bigint,0
HospitalId,bigint,0
InvoiceAmount,numeric,0
InvoiceNumber,varchar,0
IPInvoiceId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
OPInvoiceId,bigint,0
PatientAmount,numeric,0
PatientClassId,bigint,0
PatientId,bigint,0
PatientTypeId,bigint,0
Query,varchar,0
ReasonId,int,0
RegistrationNumber,varchar,0
Remarks,varchar,0
SponsorAmount,numeric,0
UpdatedById,bigint,0
WaiveOffAmount,numeric,0
