FieldName,DataType,IsPrimary
DashboardComponentId,bigint,1
BackgroundColor,varchar,0
ChangeableComponents,varchar,0
ComponentCode,varchar,0
ComponentFilterUnitId,bigint,0
ComponentFilterUnitValue,int,0
ComponentTypeCode,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
Description,varchar,0
DirectiveName,varchar,0
DisplayText,varchar,0
HardCodedValues,varchar,0
HospitalId,bigint,0
IsActive,tinyint,0
IsChangeable,bit,0
IsChartChangeable,bit,0
IsGroup,bit,0
IsScoreCard,bit,0
LastUpdatedTime,datetime,0
SQLQuery,varchar,0
UpdatedById,bigint,0
ViewOrder,int,0
XAxisValue,varchar,0
YAxisValue,varchar,0
