FieldName,DataType,IsPrimary
DoctorPaymentDetailId,bigint,1
CreatedById,bigint,0
CreatedTime,datetime,0
DoctorPaymentHeaderId,bigint,0
DoctorPCAmount,numeric,0
EmergencyAmount,numeric,0
FinalDoctorPCAmount,numeric,0
HospitalId,bigint,0
HospitalTariff,numeric,0
InitialDoctorPCAmount,numeric,0
InvoiceDetailId,bigint,0
IPBillInvoiceDetailId,bigint,0
IPServiceRenderDoctorId,bigint,0
IsActive,tinyint,0
IsCancelled,tinyint,0
LastUpdatedTime,datetime,0
PaymentTypeCode,varchar,0
PreviousDoctorAmount,numeric,0
Quantity,int,0
ServiceCostPrice,numeric,0
ServicePCAmount,numeric,0
SpecialTariff,numeric,0
STATAmount,numeric,0
UpdatedById,bigint,0
