FieldName,DataType,IsPrimary
EmployeeId,bigint,1
AgeGroupUnitId,bigint,0
AlternateNumber,varchar,0
ContactPersonName,varchar,0
ContactPersonNumber,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DeleteComments,varchar,0
DepartmentId,bigint,0
DisplayName,varchar,0
DOB,date,0
Email,varchar,0
EmployeeCode,varchar,0
EmployeeDesignationId,int,0
EmployeeGradeId,int,0
EmployeeStatusId,int,0
EmployeeTypeId,bigint,0
EntitlementId,bigint,0
FirstName,varchar,0
GenderId,bigint,0
HospitalGroupId,bigint,0
HospitalId,bigint,0
IsActive,bit,0
IsLinkedToResource,tinyint,0
JoiningDate,datetime,0
LastLocationTime,datetime,0
LastName,varchar,0
LastUpdatedTime,datetime,0
Latitude,varchar,0
Longitude,varchar,0
MaritalStatusId,bigint,0
MiddleName,varchar,0
MobileNumber,varchar,0
NationalityId,bigint,0
ProfileImagePath,varchar,0
RegisteredCouncil,varchar,0
ResidenceNumber,varchar,0
ResignationDate,datetime,0
ResignationReason,varchar,0
ResignationTypeId,int,0
SendEmail,tinyint,0
SendSMS,tinyint,0
SignatureImagePath,varchar,0
TitleId,bigint,0
Token,varchar,0
UpdatedById,bigint,0
