FieldName,DataType,IsPrimary
EventCodeId,bigint,1
CreatedById,bigint,0
CreatedTime,datetime,0
DeleteComments,varchar,0
EmailCopyRecipients,varchar,0
EmailRecipients,varchar,0
EmailToDoctor,tinyint,0
EmailToOthers,tinyint,0
EmailToPatient,tinyint,0
EventCode,varchar,0
EventDescription,varchar,0
EventName,varchar,0
EventRecipients,varchar,0
HospitalId,bigint,0
IsActive,int,0
IsScheduled,tinyint,0
LastUpdatedTime,datetime,0
MobileRecipients,varchar,0
ModuleId,bigint,0
ModuleName,varchar,0
OtherEmails,varchar,0
OtherSMS,varchar,0
ScheduledTime,varchar,0
SMSToDoctor,tinyint,0
SMSToOthers,tinyint,0
SMSToPatient,tinyint,0
UpdatedById,bigint,0
