FieldName,DataType,IsPrimary
IPBillInvoiceHeaderId,bigint,1
AdjustedAmount,numeric,0
AdmissionId,bigint,0
AuthorisedById,bigint,0
BalanceAmount,numeric,0
BillCancelReasonId,bigint,0
BillReceiptReasonCode,varchar,0
BillTypeId,bigint,0
CancelledByUserId,bigint,0
CancelledDate,datetime,0
CreatedById,bigint,0
CreatedTime,datetime,0
CreditAmount,numeric,0
DebitAmount,numeric,0
DeleteComments,varchar,0
EntitlementId,bigint,0
HospitalId,bigint,0
ICDId,bigint,0
InvoiceAmount,numeric,0
InvoiceDate,datetime,0
InvoiceIndicator,varchar,0
InvoiceNumber,varchar,0
IsActive,tinyint,0
IsAutoDebit,tinyint,0
IsCancelled,tinyint,0
LastUpdatedTime,datetime,0
ManualReceiptNumber,varchar,0
PatientClassCode,varchar,0
PatientEmergencyCharges,numeric,0
PatientFNSCAmount,numeric,0
PatientGrossAmount,numeric,0
PatientGrossDiscountAmount,numeric,0
PatientId,bigint,0
PatientLineDiscount,numeric,0
PatientNetAmount,numeric,0
PatientRoundOffAmount,numeric,0
PatientSurchargeAmount,numeric,0
PatientTaxAmount,numeric,0
PatientTypeId,bigint,0
RefDocNumber,varchar,0
ReferenceInvoiceNumber,varchar,0
ReferralName,varchar,0
RejectedAmount,numeric,0
SettledAmount,numeric,0
settlementNumber,varchar,0
SponsorEmergencyCharges,numeric,0
SponsorFNSCAmount,numeric,0
SponsorGrossAmount,numeric,0
SponsorGrossDiscountAmount,numeric,0
SponsorLineDiscount,numeric,0
SponsorNetAmount,numeric,0
SponsorRoundOffAmount,numeric,0
SponsorSurchargeAmount,numeric,0
SponsorTaxAmount,numeric,0
UpdatedById,bigint,0
WaiveOffAmount,numeric,0
