FieldName,DataType,IsPrimary
IPGRNEntryDetailId,bigint,1
AuthorisedById,bigint,0
AVGPrice,numeric,0
BatchNumber,varchar,0
CGSTAmount,numeric,0
CGSTPercentage,numeric,0
CostPrice,numeric,0
CreatedById,bigint,0
CreatedTime,datetime,0
CurrentFreeQuantity,numeric,0
CurrentGRNQuantity,numeric,0
DiscountAmount,numeric,0
DiscountPercentage,numeric,0
ExpiryDate,date,0
FreeQuantity,numeric,0
GRNQuantity,numeric,0
GrossAmount,numeric,0
GrossDiscountAmount,numeric,0
GrossDiscountPercentage,numeric,0
HospitalId,bigint,0
IGSTAmount,numeric,0
IGSTPercentage,numeric,0
IPGRNEntryHeaderId,bigint,0
IsActive,tinyint,0
IsAuthorized,tinyint,0
IsFreeItem,tinyint,0
IsLatest,tinyint,0
IsNewBatch,tinyint,0
IsPendingQuantityActive,tinyint,0
LandedPrice,numeric,0
LastUpdatedTime,datetime,0
ManufacturingDate,date,0
MRP,numeric,0
NetAmount,numeric,0
POCostPrice,numeric,0
ProductId,bigint,0
ProductName,varchar,0
ReferenceProductId,bigint,0
Remarks,varchar,0
ReturnedQuantity,numeric,0
SellingPrice,numeric,0
SGSTAmount,numeric,0
SGSTPercentage,numeric,0
UOMId,bigint,0
UpdatedById,bigint,0
