FieldName,DataType,IsPrimary
IPGRNEntryHeaderId,bigint,1
AuthorizationRemarks,varchar,0
CreatedById,bigint,0
CreatedTime,datetime,0
DCNumber,varchar,0
GRNDate,date,0
GRNNumber,varchar,0
GRNTypeId,bigint,0
GrossAmount,numeric,0
GrossDiscountAmount,numeric,0
GrossDiscountPercentage,numeric,0
GSTAmount,numeric,0
HospitalId,bigint,0
InvoiceDate,date,0
InvoiceNumber,varchar,0
IPGatePassEntryHeaderId,bigint,0
IPGRNStatusId,tinyint,0
IPPOHeaderId,bigint,0
IPSIBEntryHeaderId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
NetAmount,numeric,0
PaymentDays,int,0
POComponentAmount,numeric,0
Remarks,varchar,0
SupplierId,bigint,0
SupplierName,varchar,0
TermsAndConditions,varchar,0
UpdatedById,bigint,0
WarehouseId,bigint,0
WarrantyPeriod,numeric,0
