FieldName,DataType,IsPrimary
IPGatePassEntryDetailId,bigint,1
AVGPrice,numeric,0
BatchNumber,varchar,0
CGSTAmount,numeric,0
CGSTPercentage,numeric,0
CostPrice,numeric,0
CreatedById,bigint,0
CreatedTime,datetime,0
DiscountAmount,numeric,0
DiscountPercentage,numeric,0
ExpiryDate,date,0
GatePassQuantity,numeric,0
GrossAmount,numeric,0
GrossDiscountAmount,numeric,0
GrossDiscountPercentage,numeric,0
HospitalId,bigint,0
IGSTAmount,numeric,0
IGSTPercentage,numeric,0
IPGatePassEntryHeaderId,bigint,0
IPGRNEntryDetailId,bigint,0
IsActive,tinyint,0
IssuedQuantity,numeric,0
LandedPrice,numeric,0
LastUpdatedTime,datetime,0
ManufacturingDate,date,0
MRP,numeric,0
NetAmount,numeric,0
ProductId,bigint,0
ReceivedQuantity,numeric,0
Remarks,varchar,0
SellingPrice,numeric,0
SGSTAmount,numeric,0
SGSTPercentage,numeric,0
SIBQuantity,numeric,0
UOMId,bigint,0
UpdatedById,bigint,0
