FieldName,DataType,IsPrimary
IPPODetailId,bigint,1
AmendmentQuantity,numeric,0
ApprovedQuantity,numeric,0
ApprovedUnitPrice,numeric,0
AuthorizedById,bigint,0
AuthorizedQuantity,numeric,0
CancelledQuantity,numeric,0
CGSTAmount,numeric,0
CGSTPercentage,numeric,0
CreatedById,bigint,0
CreatedTime,datetime,0
DiscountAmount,numeric,0
DiscountPercentage,numeric,0
GrossAmount,numeric,0
HospitalId,bigint,0
IGSTAmount,numeric,0
IGSTPercentage,numeric,0
IndentQuantity,numeric,0
IPPOHeaderId,bigint,0
IsActive,tinyint,0
LastUpdatedTime,datetime,0
NetAmount,numeric,0
PORejectReasonId,bigint,0
ProductId,bigint,0
ProductName,varchar,0
PurchaseUOMId,bigint,0
ReceivedQuantity,numeric,0
RejectedRemarks,varchar,0
SGSTAmount,numeric,0
SGSTPercentage,numeric,0
SIBReceivedQuantity,numeric,0
StandardCost,numeric,0
TaxAmount,numeric,0
TaxPercentage,numeric,0
UpdatedById,bigint,0
ValidateReOrderRemarks,varchar,0
WarehouseId,bigint,0
