FieldName,DataType,IsPrimary
IPPOHeaderId,bigint,1
CreatedById,bigint,0
CreatedTime,datetime,0
CurrencyId,bigint,0
DeliveryLocationId,bigint,0
ExpectedDeliveryDate,date,0
GrossAmount,numeric,0
GrossDiscountAmount,numeric,0
GrossTaxAmount,numeric,0
HospitalId,bigint,0
IPPODate,date,0
IPPONumber,varchar,0
IPPORequestHeaderId,bigint,0
IPPOStatusId,bigint,0
IsActive,tinyint,0
IsAmended,tinyint,0
IsAmmended,tinyint,0
LastUpdatedTime,datetime,0
NetAmount,numeric,0
PaymentDays,int,0
PORejectReasonId,bigint,0
POTypeId,int,0
POValidDays,int,0
RejectedRemarks,varchar,0
Remarks,varchar,0
Source,varchar,0
SupplierId,bigint,0
SupplierName,varchar,0
TermsAndConditions,varchar,0
UpdatedById,bigint,0
WarehouseId,bigint,0
WarrantyPeriod,numeric,0
