FieldName,DataType,IsPrimary
IPPORequestDetailId,bigint,1
ApprovedQuantity,numeric,0
CreatedById,bigint,0
CreatedTime,datetime,0
HospitalId,bigint,0
IndentQuantity,numeric,0
IPPODetailId,bigint,0
IPPORequestHeaderId,bigint,0
IsActive,tinyint,0
IsRejected,tinyint,0
LastPurchasePrice,numeric,0
LastUpdatedTime,datetime,0
MaxStock,numeric,0
MinStock,numeric,0
OnHandQuantity,numeric,0
OnOrderQuantity,numeric,0
POApprovedQuantity,numeric,0
PORejectReasonId,bigint,0
ProductId,bigint,0
ProductName,varchar,0
PurchaseUOMId,bigint,0
Remarks,varchar,0
ReOrderLevel,int,0
ReOrderQuantity,numeric,0
SupplierId,bigint,0
UpdatedById,bigint,0
ValidateReOrderRemarks,varchar,0
WarehouseId,bigint,0
