FieldName,DataType,IsPrimary
IPPORequestHeaderId,bigint,1
CreatedById,bigint,0
CreatedTime,datetime,0
HospitalId,bigint,0
IPPOOrderNumber,varchar,0
IPPORequestDate,date,0
IPPOStatusId,bigint,0
IsActive,tinyint,0
IsCancelled,tinyint,0
IsUrgent,tinyint,0
LastUpdatedTime,datetime,0
PaymentDays,int,0
PORejectReasonId,bigint,0
ProductTypeId,bigint,0
Remarks,varchar,0
SupplierId,bigint,0
SupplierName,varchar,0
TermsAndConditions,varchar,0
UpdatedById,bigint,0
WarehouseId,bigint,0
WarrantyPeriod,numeric,0
